title,index
City Hall,98
Bottle Rocket,99
Mr. Wrong,100
Unforgettable,101
Happy Gilmore,102
The Bridges of Madison County,103
Nobody Loves Me,104
Muppet Treasure Island,105
Catwalk,106
Headless Body in Topless Bar,107
Braveheart,108
Taxi Driver,109
Rumble in the Bronx,110
Before and After,111
Margaret's Museum,112
Happiness Is in the Field,113
Anne Frank Remembered,114
The Young Poisoner's Handbook,115
If Lucy Fell,116
Steal Big Steal Little,117
Race the Sun,118
The Boys of St. Vincent,119
Boomerang,120
Chungking Express,121
The Star Maker,122
Flirting with Disaster,123
The Neverending Story III: Escape from Fantasia,124
The Silences of the Palace,125
Jupiter's Wife,126
Pie in the Sky,127
Angela,128
Frankie Starlight,129
Jade,130
Nueba Yol,131
Sonic Outlaws,132
Down Periscope,133
From the Journals of Jean Seberg,134
Man of the Year,135
The Neon Bible,136
Target,137
Up Close & Personal,138
The Birdcage,139
Virgin Mary,140
The Brothers McMullen,141
Bad Boys,142
The Amazing Panda Adventure,143
The Basketball Diaries,144
An Awfully Big Adventure,145
Amateur,146
Apollo 13,147
Rob Roy,148
The Addiction,149
Batman Forever,150
Belle de Jour,151
Beyond Rangoon,152
Blue in the Face,153
Canadian Bacon,154
Casper,155
Clockers,156
Congo,157
Crimson Tide,158
Crumb,159
Desperado,160
Devil in a Blue Dress,161
Die Hard: With a Vengeance,162
The Doom Generation,163
Feast of July,164
First Knight,165
Free Willy 2 - The Adventure Home,166
Hackers,167
Jeffrey,168
Johnny Mnemonic,169
Judge Dredd,170
Jury Duty,171
Kids,172
Living in Oblivion,173
Lord of Illusions,174
Love & Human Remains,175
Mad Love,176
Mallrats,177
Mighty Morphin Power Rangers: The Movie,178
Moonlight and Valentino,179
Mute Witness,180
Nadja,181
The Net,182
Nine Months,183
Party Girl,184
The Prophecy,185
Reckless,186
Safe,187
The Scarlet Letter,188
The Show,189
Showgirls,190
Smoke,191
Something to Talk About,192
Species,193
The Stars Fell on Henrietta,194
Strange Days,195
The Umbrellas of Cherbourg,196
The Tie That Binds,197
Three Wishes,198
Total Eclipse,199
"To Wong Foo, Thanks for Everything! Julie Newmar",200
Under Siege 2: Dark Territory,201
Unstrung Heroes,202
Unzipped,203
A Walk in the Clouds,204
Waterworld,205
White Man's Burden,206
Wild Bill,207
The Browning Version,208
Bushwhacked,209
Burnt by the Sun,210
Before the Rain,211
Before Sunrise,212
Billy Madison,213
The Babysitter,214
Boys on the Side,215
The Cure,216
Castle Freak,217
Circle of Friends,218
Clerks,219
Don Juan DeMarco,220
Disclosure,221
Dream Man,222
Drop Zone,223
Destiny Turns on the Radio,224
Death and the Maiden,225
Dolores Claiborne,226
Dumb and Dumber,227
Eat Drink Man Woman,228
Exotica,229
Exit to Eden,230
Ed Wood,231
French Kiss,232
Forget Paris,233
Far from Home: The Adventures of Yellow Dog,234
A Goofy Movie,235
Hideaway,236
Fluke,237
Farinelli,238
Gordy,239
Gumby: The Movie,240
The Glass Shield,241
Hoop Dreams,242
Heavenly Creatures,243
Houseguest,244
Immortal Beloved,245
Heavyweights,246
The Hunted,247
I.Q.,248
Interview with the Vampire,249
Jefferson in Paris,250
The Jerky Boys,251
Junior,252
Just Cause,253
A Kid in King Arthur's Court,254
Kiss of Death,255
Star Wars,256
Little Women,257
A Little Princess,258
Ladybird Ladybird,259
L'Enfer,260
Like Water for Chocolate,261
Legends of the Fall,262
Major Payne,263
Little Odessa,264
Mi Vida Loca,265
Love Affair,266
Losing Isaiah,267
The Madness of King George,268
Mary Shelley's Frankenstein,269
Man of the House,270
Mixed Nuts,271
Milk Money,272
Miracle on 34th Street,273
Miami Rhapsody,274
My Family,275
Murder in the First,276
Nobody's Fool,277
Nell,278
New Jersey Drive,279
New York Cop,280
Beyond Bedlam,281
Nemesis 2 - Nebula,282
Nina Takes a Lover,283
Natural Born Killers,284
Only You,285
Once Were Warriors,286
Poison Ivy II: Lily,287
Outbreak,288
Leon: The Professional,289
The Perez Family,290
A Pyromaniac's Love Story,291
Pulp Fiction,292
Panther,293
Pushing Hands,294
Priest,295
Quiz Show,296
Picture Bride,297
Queen Margot,298
The Quick and the Dead,299
Roommates,300
Prêt-à-Porter,301
Three Colors: Red,302
Three Colors: Blue,303
Three Colors: White,304
"Red Firecracker, Green Firecracker",305
Rent-a-Kid,306
Relative Fear,307
Stuart Saves His Family,308
The Swan Princess,309
The Secret of Roan Inish,310
The Specialist,311
Stargate,312
The Santa Clause,313
The Shawshank Redemption,314
Shallow Grave,315
Suture,316
Strawberry and Chocolate,317
Swimming with Sharks,318
The Sum of Us,319
Senior Trip,320
To Live,321
Tank Girl,322
Tales from the Crypt: Demon Knight,323
Star Trek: Generations,324
Tales from the Hood,325
Tom & Viv,326
Village of the Damned,327
Tommy Boy,328
Vanya on 42nd Street,329
The Underneath,330
The Walking Dead,331
What's Eating Gilbert Grape,332
Virtuosity,333
While You Were Sleeping,334
The War,335
Double Happiness,336
Muriel's Wedding,337
The Baby-Sitters Club,338
Ace Ventura: Pet Detective,339
"The Adventures of Priscilla, Queen of the Desert",340
Backbeat,341
Bitter Moon,342
Bullets Over Broadway,343
Clear and Present Danger,344
The Client,345
"Corrina, Corrina",346
Crooklyn,347
The Crow,348
Cobb,349
The Flintstones,350
Forrest Gump,351
Four Weddings and a Funeral,352
Higher Learning,353
I Like It Like That,354
I Love Trouble,355
It Could Happen to You,356
The Jungle Book,357
"The Wonderful, Horrible Life of Leni Riefenstahl",358
The Lion King,359
Little Buddha,360
New Nightmare,361
The Mask,362
Maverick,363
Mrs. Parker and the Vicious Circle,364
The Naked Gun 33⅓: The Final Insult,365
The Paper,366
Reality Bites,367
Red Rock West,368
Ri¢hie Ri¢h,369
Safe Passage,370
The River Wild,371
Speed,372
Speechless,373
Timecop,374
True Lies,375
When a Man Loves a Woman,376
Wolf,377
Wyatt Earp,378
Bad Company,379
A Man of No Importance,380
S.F.W.,381
A Low Down Dirty Shame,382
"Boys Life: Three Stories of Love, Lust, and Liberation",383
Colonel Chabert,384
"Faster, Pussycat! Kill! Kill!",385
Jason's Lyric,386
The Secret Adventures of Tom Thumb,387
Street Fighter,388
Coldblooded,389
Desert Winds,390
Fall Time,391
The Fear,392
Frank and Ollie,393
Girl in the Cadillac,394
Homage,395
Mirage,396
Open Season,397
Dos Crímenes,398
Brother Minister: The Assassination of Malcolm X,399
Highlander: The Final Dimension,400
Federal Hill,401
In the Mouth of Madness,402
8 Seconds,403
Above the Rim,404
Addams Family Values,405
Martin Lawrence: You So Crazy,406
The Age of Innocence,407
Airheads,408
The Air Up There,409
Another Stakeout,410
Bad Girls,411
Barcelona,412
Being Human,413
The Beverly Hillbillies,414
Beverly Hills Cop III,415
Black Beauty,416
Blink,417
Blown Away,418
Blue Chips,419
Blue Sky,420
Body Snatchers,421
Boxing Helena,422
A Bronx Tale,423
Cabin Boy,424
Calendar Girl,425
Carlito's Way,426
City Slickers II: The Legend of Curly's Gold,427
Clean Slate,428
Cliffhanger,429
Coneheads,430
Color of Night,431
Cops & Robbersons,432
The Cowboy Way,433
Dangerous Game,434
Dave,435
Dazed and Confused,436
Demolition Man,437
The Endless Summer 2,438
Even Cowgirls Get the Blues,439
Fatal Instinct,440
Farewell My Concubine,441
The Favor,442
Fearless,443
Fear of a Black Hat,444
With Honors,445
Flesh and Bone,446
Widows' Peak,447
For Love or Money,448
The Firm,449
Free Willy,450
Fresh,451
The Fugitive,452
Geronimo: An American Legend,453
The Getaway,454
Getting Even with Dad,455
Go Fish,456
A Good Man in Africa,457
Guilty as Sin,458
Hard Target,459
Heaven & Earth,460
Hot Shots! Part Deux,461
Live Nude Girls,462
The Englishman Who Went Up a Hill But Came Down a Mountain,463
The House of the Spirits,464
House Party 3,465
The Hudsucker Proxy,466
I'll Do Anything,467
In the Army Now,468
In the Line of Fire,469
In the Name of the Father,470
The Inkwell,471
What's Love Got to Do with It,472
Jimmy Hollywood,473
Judgment Night,474
Jurassic Park,475
Kalifornia,476
Killing Zoe,477
King of the Hill,478
Lassie,479
Last Action Hero,480
Life With Mikey,481
Lightning Jack,482
M. Butterfly,483
Made in America,484
Malice,485
The Man without a Face,486
Manhattan Murder Mystery,487
Menace II Society,488
Executive Decision,489
In the Realm of the Senses,490
What Happened Was...,491
Much Ado About Nothing,492
Mr. Jones,493
Mr. Wonderful,494
Mrs. Doubtfire,495
Naked,496
The Next Karate Kid,497
The New Age,498
No Escape,499
North,500
Orlando,501
A Perfect World,502
Philadelphia,503
The Piano,504
Poetic Justice,505
The Program,506
The Puppet Masters,507
Radioland Murders,508
The Ref,509
The Remains of the Day,510
Renaissance Man,511
Rising Sun,512
The Road to Wellville,513
RoboCop 3,514
Robin Hood: Men in Tights,515
Romeo Is Bleeding,516
Romper Stomper,517
Ruby in Paradise,518
Rudy,519
The Saint of Fort Washington,520
Savage Nights,521
Schindler's List,522
The Scout,523
Searching for Bobby Fischer,524
Second Best,525
The Secret Garden,526
Serial Mom,527
The Shadow,528
Shadowlands,529
Short Cuts,530
A Simple Twist of Fate,531
Sirens,532
Six Degrees of Separation,533
Sleepless in Seattle,534
Sliver,535
Blade Runner,536
Son in Law,537
So I Married an Axe Murderer,538
Striking Distance,539
Harem,540
Super Mario Bros.,541
Surviving the Game,542
Terminal Velocity,543
Thirty Two Short Films About Glenn Gould,544
Threesome,545
The Nightmare Before Christmas,546
The Three Musketeers,547
Tombstone,548
Trial by Jury,549
True Romance,550
The War Room,551
The Pagemaster,552
"Paris, France",553
"The Beans of Egypt, Maine",554
Killer,555
Welcome to the Dollhouse,556
Germinal,557
Chasers,558
Cronos,559
Naked in New York,560
Kika,561
Bhaji on the Beach,562
Little Big League,563
The Slingshot,564
Wide Eyed and Legless,565
Foreign Student,566
"Ciao, Professore!",567
Spanking the Monkey,568
The Little Rascals,569
À la mode,570
Andre,571
The Escort,572
Princess Caraboo,573
The Celluloid Closet,574
Café au Lait,575
Dear Diary,576
I Don't Want to Talk About It,577
The Brady Bunch Movie,578
Home Alone,579
Ghost,580
Aladdin,581
Terminator 2: Judgment Day,582
Dances with Wolves,583
Tough and Deadly,584
Batman,585
The Silence of the Lambs,586
Snow White and the Seven Dwarfs,587
Beauty and the Beast,588
Pinocchio,589
Pretty Woman,590
Window to Paris,591
The Wild Bunch,592
Love and a .45,593
The Wooden Man's Bride,594
A Great Day in Harlem,595
Bye Bye Love,596
One Fine Day,597
Candyman: Farewell to the Flesh,598
Century,599
Fargo,600
Homeward Bound II: Lost in San Francisco,601
Heavy Metal,602
Hellraiser: Bloodline,603
The Pallbearer,604
Jane Eyre,605
Loaded,606
Bread and Chocolate,607
The Aristocats,608
The Flower of My Secret,609
Two Much,610
Ed,611
Scream of Stone,612
My Favorite Season,613
A Modern Affair,614
Condition Red,615
Halfaouine: Boy of the Terraces,616
A Thin Line Between Love and Hate,617
The Last Supper,618
Primal Fear,619
Rude,620
Carried Away,621
All Dogs Go to Heaven 2,622
Land and Freedom,623
Denise Calls Up,624
Theodore Rex,625
A Family Thing,626
Frisk,627
Sgt. Bilko,628
Jack & Sarah,629
Girl 6,630
Diabolique,631
"Little Indian, Big City",632
Roula,633
Peanuts – Die Bank zahlt alles,634
Happy Weekend,635
Nelly and Monsieur Arnaud,636
Courage Under Fire,637
Mission: Impossible,638
Cold Fever,639
Moll Flanders,640
The Superwife,641
"301, 302",642
DragonHeart,643
Und keiner weint mir nach,644
My Mother's Courage,645
Eddie,646
Yankee Zulu,647
Billy's Holiday,648
Purple Noon,649
August,650
James and the Giant Peach,651
Fear,652
Kids in the Hall: Brain Candy,653
Faithful,654
Underground,655
All Things Fair,656
Bloodsport II,657
Pather Panchali,658
The World of Apu,659
Mystery Science Theater 3000: The Movie,660
Tarantella,661
Space Jam,662
Barbarella,663
Hostile Intentions,664
They Bite,665
Some Folks Call It a Sling Blade,666
The Run of the Country,667
Alphaville,668
Coup de Torchon,669
Tigrero: A Film That Was Never Made,670
The Eye of Vichy,671
Windows,672
It's My Party,673
Country Life,674
Operation Dumbo Drop,675
The Promise,676
Mrs. Winterbourne,677
Solo,678
Under The Domim Tree,679
The Substitute,680
True Crime,681
Butterfly Kiss,682
Feeling Minnesota,683
Delta of Venus,684
To Cross the Rubicon,685
Angus,686
Priest Daens,687
Faces,688
Boys,689
The Quest,690
Cosi,691
Sunset Park,692
Mulholland Falls,693
The Truth About Cats & Dogs,694
Oliver & Company,695
Celtic Pride,696
Flipper,697
Captives,698
Of Love and Shadows,699
Dead Man,700
The Horseman on the Roof,701
Switchblade Sisters,702
Mouth to Mouth,703
The Visitors,704
Multiplicity,705
"The Haunted World of Edward D. Wood, Jr.",706
Two Friends,707
The Craft,708
The Great White Hype,709
Last Dance,710
War Stories Our Mother Never Told Us,711
Cold Comfort Farm,712
"Institute Benjamenta, or This Dream People Call Human Life",713
Heaven's Prisoners,714
Original Gangstas,715
The Rock,716
Getting Away with Murder,717
Cemetery Man,718
Twister,719
Barb Wire,720
Le Garçu,721
Honeymoon,722
Ghost in the Shell,723
Thinner,724
Spy Hard,725
Brothers in Trouble,726
A Close Shave,727
Force of Evil,728
The Stupids,729
The Arrival,730
The Man from Down Under,731
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,732
Careful,733
Vermont Is for Lovers,734
A Month by the Lake,735
Gold Diggers: The Secret of Bear Mountain,736
Kim,737
Carmen Miranda: Bananas Is My Business,738
Ashes of Time,739
The Jar,740
Maya Lin: A Strong Clear Vision,741
Stalingrad,742
The Phantom,743
Striptease,744
The Last of the High Kings,745
Heavy,746
Jack,747
I Shot Andy Warhol,748
The Grass Harp,749
Someone Else's America,750
Life is Rosy,751
Quartier Mozart,752
Touki Bouki,753
God's Gift,754
Spirits of the Dead,755
Babyfever,756
Pharaoh's  Army,757
Trainspotting,758
Til There Was You,759
Independence Day,760
Stealing Beauty,761
The Fan,762
The Hunchback of Notre Dame,763
The Cable Guy,764
Kingpin,765
Eraser,766
The Gate of Heavenly Peace,767
The Nutty Professor,768
"I, the Worst of All",769
An Unforgettable Summer,770
A Hungarian Fairy Tale,771
My Life and Times With Antonin Artaud,772
Midnight Dancers,773
Somebody to Love,774
A Very Natural Thing,775
The Old Lady Who Walked in the Sea,776
Daylight,777
The Frighteners,778
Lone Star,779
Harriet the Spy,780
Phenomenon,781
Walking and Talking,782
She's the One,783
A Time to Kill,784
American Buffalo,785
Rendezvous in Paris,786
Alaska,787
Fled,788
Kazaam,789
Magic Hunter,790
Larger Than Life,791
A Boy Called Hate,792
Power 98,793
Two Deaths,794
A Very Brady Sequel,795
Stefano Quantestorie,796
Death in the Garden,797
Hedd Wyn,798
La Collectionneuse,799
Kaspar Hauser,800
Regular Guys,801
Diebinnen,802
The Convent,803
The Adventures of Pinocchio,804
Joe's Apartment,805
The First Wives Club,806
Stonewall,807
Ransom,808
High School High,809
Phat Beach,810
Foxfire,811
Chain Reaction,812
Matilda,813
Emma,814
The Crow: City of Angels,815
House Arrest,816
Eyes Without a Face,817
Bordello of Blood,818
Lotto Land,819
The Story of Xinghua,820
The Day the Sun Turned Cold,821
Flirt,822
The Big Squeeze,823
The Spitfire Grill,824
Escape from L.A.,825
Cyclo,826
Basquiat,827
Tin Cup,828
Dingo,829
The Ballad of Narayama,830
Every Other Weekend,831
Mille bolle blu,832
Crows and Sparrows,833
The Godfather,834
Maybe... Maybe Not,835
Police Story 3: Supercop,836
Manny & Lo,837
Wife,838
Small Faces,839
Bound,840
Carpool,841
Death in Brunswick,842
Kansas City,843
Gone Fishin',844
Lover's Knot,845
Vive L'Amour,846
Shadow of Angels,847
Killer: A Journal of Murder,848
Nothing to Lose,849
Project S,850
Girls Town,851
Bye-Bye,852
The Relic,853
The Island of Dr. Moreau,854
First Kid,855
The Trigger Effect,856
Sweet Nothing,857
Bogus,858
Bulletproof,859
Talk of Angels,860
The Land Before Time III: The Time of the Great Giving,861
1-900,862
Baton Rouge,863
Halloween: The Curse of Michael Myers,864
Twelfth Night,865
Mother Night,866
Liebelei,867
Venice,868
Wild Reeds,869
For Whom the Bell Tolls,870
The Philadelphia Story,871
Singin' in the Rain,872
An American in Paris,873
Funny Face,874
Breakfast at Tiffany's,875
Vertigo,876
Rear Window,877
It Happened One Night,878
Gaslight,879
The Gay Divorcee,880
North by Northwest,881
The Apartment,882
Some Like It Hot,883
Charade,884
Casablanca,885
The Maltese Falcon,886
My Fair Lady,887
Sabrina,888
Roman Holiday,889
The Little Princess,890
Meet Me in St. Louis,891
The Wizard of Oz,892
Gone with the Wind,893
My Favorite Year,894
Sunset Boulevard,895
Citizen Kane,896
2001: A Space Odyssey,897
Golden Earrings,898
All About Eve,899
The Women,900
Rebecca,901
Foreign Correspondent,902
Notorious,903
Spellbound,904
An Affair to Remember,905
To Catch a Thief,906
Father of the Bride,907
The Band Wagon,908
Ninotchka,909
Love in the Afternoon,910
Gigi,911
The Reluctant Debutante,912
The Adventures of Robin Hood,913
The Mark of Zorro,914
Laura,915
The Ghost and Mrs. Muir,916
Lost Horizon,917
Top Hat,918
To Be or Not to Be,919
My Man Godfrey,920
Giant,921
East of Eden,922
The Thin Man,923
His Girl Friday,924
Around the World in Eighty Days,925
It's a Wonderful Life,926
Mr. Smith Goes to Washington,927
Bringing Up Baby,928
Penny Serenade,929
The Scarlet Letter,930
Lady of Burlesque,931
Of Human Bondage,932
Angel on My Shoulder,933
Little Lord Fauntleroy,934
They Made Me a Criminal,935
The Inspector General,936
Angel and the Badman,937
The 39 Steps,938
A Walk in the Sun,939
The Outlaw,940
Night of the Living Dead,941
The African Queen,942
Beat the Devil,943
Cat on a Hot Tin Roof,944
The Last Time I Saw Paris,945
Meet John Doe,946
Algiers,947
Something to Sing About,948
A Farewell to Arms,949
Moonlight Murder,950
Nothing Personal,951
"Yes, Madam",952
Dangerous Ground,953
Picnic,954
Madagascar Skin,955
The Pompatus of Love,956
Small Wonders,957
Fly Away Home,958
Bliss,959
Grace of My Heart,960
Brother of Sleep,961
Maximum Risk,962
Michael Collins,963
The Rich Man's Wife,964
Infinity,965
Big Night,966
Last Man Standing,967
Caught,968
Set It Off,969
2 Days in the Valley,970
Curdled,971
L'associé,972
Ed's Next Move,973
Extreme Measures,974
The Glimmer Man,975
D3: The Mighty Ducks,976
The Chamber,977
The Apple Dumpling Gang,978
"Davy Crockett, King of the Wild Frontier",979
Escape to Witch Mountain,980
The Love Bug,981
Herbie Rides Again,982
Old Yeller,983
The Parent Trap,984
Pollyanna,985
Homeward Bound: The Incredible Journey,986
The Shaggy Dog,987
Swiss Family Robinson,988
That Darn Cat!,989
"20,000 Leagues Under the Sea",990
Cool Runnings,991
Angels in the Outfield,992
Cinderella,993
Winnie the Pooh and the Blustery Day,994
The Three Caballeros,995
The Sword in the Stone,996
So Dear to My Heart,997
Robin Hood: Prince of Thieves,998
Mary Poppins,999
Dumbo,1000
Pete's Dragon,1001
Bedknobs and Broomsticks,1002
Alice in Wonderland,1003
The Fox and the Hound,1004
Freeway,1005
The Sound of Music,1006
Die Hard,1007
The Lawnmower Man,1008
Unhook the Stars,1009
Synthetic Pleasures,1010
The Secret Agent,1011
Secrets & Lies,1012
That Thing You Do!,1013
To Gillian on Her 37th Birthday,1014
Surviving Picasso,1015
Love Is All There Is,1016
Beautiful Thing,1017
The Long Kiss Goodnight,1018
The Ghost and the Darkness,1019
Looking for Richard,1020
Trees Lounge,1021
The Proprietor,1022
Normal Life,1023
Get on the Bus,1024
Shadow Conspiracy,1025
Jude,1026
Everyone Says I Love You,1027
Bitter Sugar,1028
Romeo + Juliet,1029
Swingers,1030
Sleepers,1031
The Sunchaser,1032
Johns,1033
Aladdin and the King of Thieves,1034
The Woman in Question,1035
Shall We Dance,1036
A Damsel in Distress,1037
Crossfire,1038
"Murder, My Sweet",1039
Macao,1040
For the Moment,1041
Willy Wonka & the Chocolate Factory,1042
The Sexual Life of the Belgians,1043
The Innocents,1044
Sleeper,1045
Bananas,1046
A Fish Called Wanda,1047
Life of Brian,1048
Victor/Victoria,1049
The Candidate,1050
The Great Race,1051
Bonnie and Clyde,1052
The Old Man and the Sea,1053
Dial M for Murder,1054
Madame Butterfly,1055
Dirty Dancing,1056
Reservoir Dogs,1057
Platoon,1058
Weekend at Bernie's,1059
Basic Instinct,1060
The Doors,1061
The Crying Game,1062
Glengarry Glen Ross,1063
Sophie's Choice,1064
E.T. the Extra-Terrestrial,1065
The Search for One-eye Jimmy,1066
A Christmas Carol,1067
Days of Thunder,1068
Top Gun,1069
American Strays,1070
Rebel Without a Cause,1071
A Streetcar Named Desire,1072
Children of the Corn IV: The Gathering,1073
The Leopard Son,1074
Charm's  Incidents,1075
Bird of Prey,1076
Microcosmos,1077
Palookaville,1078
The Associate,1079
The Funeral,1080
The Sleepover,1081
A Single Girl,1082
The Eighth Day,1083
North Star,1084
Drunks,1085
The People vs. Larry Flynt,1086
Glory Daze,1087
A Perfect Candidate,1088
On Golden Pond,1089
The Return of the Pink Panther,1090
Drop Dead Fred,1091
The Abyss,1092
The Fog,1093
Escape from New York,1094
The Howling,1095
Jean de Florette,1096
Manon of the Spring,1097
Johnny 100 Pesos,1098
Private Benjamin,1099
Monty Python and the Holy Grail,1100
Hustler White,1101
Dadetown,1102
Everything Relative,1103
Entertaining Angels - The Dorothy Day Story,1104
Three Lives and Only One Death,1105
The Line King: The Al Hirschfeld Story,1106
Snowriders,1107
Curtis's Charm,1108
When We Were Kings,1109
The Wrong Trousers,1110
JLG/JLG: Self-Portrait in December,1111
The Return of Martin Guerre,1112
Faust,1113
He Walked by Night,1114
Raw Deal,1115
T-Men,1116
The Children Are Watching Us,1117
Pastoral Symphony,1118
Here Comes Cookie,1119
Love In Bloom,1120
Six of a Kind,1121
The Tin Drum,1122
The Ruling Class,1123
Mina Tannenbaum,1124
2 or 3 Things I Know About Her,1125
The Bloody Child,1126
Dear God,1127
Bad Moon,1128
American Dream,1129
Best of the Best 3: No Turning Back,1130
Bob Roberts,1131
Cinema Paradiso,1132
"The Cook, the Thief, His Wife & Her Lover",1133
Dead Tired,1134
Delicatessen,1135
The Double Life of Veronique,1136
Enchanted April,1137
Paths of Glory,1138
The Grifters,1139
Hear My Song,1140
The Shooter,1141
The English Patient,1142
Mediterraneo,1143
My Left Foot: The Story of Christy Brown,1144
"Sex, Lies, and Videotape",1145
Passion Fish,1146
Strictly Ballroom,1147
The Thin Blue Line,1148
Tie Me Up! Tie Me Down!,1149
Madonna: Truth or Dare,1150
Paris is Burning,1151
One Flew Over the Cuckoo's Nest,1152
Up in Smoke,1153
The Empire Strikes Back,1154
The Princess Bride,1155
Raiders of the Lost Ark,1156
Brazil,1157
Aliens,1158
"The Good, the Bad and the Ugly",1159
Withnail & I,1160
12 Angry Men,1161
Lawrence of Arabia,1162
A Clockwork Orange,1163
To Kill a Mockingbird,1164
Apocalypse Now,1165
Once Upon a Time in the West,1166
Return of the Jedi,1167
Wings of Desire,1168
The Third Man,1169
GoodFellas,1170
Alien,1171
Army of Darkness,1172
The Big Blue,1173
Ran,1174
The Killer,1175
Psycho,1176
The Blues Brothers,1177
The Godfather: Part II,1178
Full Metal Jacket,1179
A Grand Day Out,1180
Henry V,1181
Amadeus,1182
The Quiet Man,1183
Once Upon a Time in America,1184
Raging Bull,1185
Annie Hall,1186
The Right Stuff,1187
Stalker,1188
Das Boot,1189
The Sting,1190
Harold and Maude,1191
Trust,1192
The Seventh Seal,1193
Local Hero,1194
The Terminator,1195
Braindead,1196
Glory,1197
Rosencrantz & Guildenstern Are Dead,1198
Manhattan,1199
Miller's Crossing,1200
Dead Poets Society,1201
The Graduate,1202
Touch of Evil,1203
La Femme Nikita,1204
The Bridge on the River Kwai,1205
8½,1206
Chinatown,1207
The Day the Earth Stood Still,1208
The Treasure of the Sierra Madre,1209
Bad Taste,1210
Duck Soup,1211
Better Off Dead...,1212
The Shining,1213
Stand by Me,1214
M,1215
Evil Dead II,1216
The Great Escape,1217
The Deer Hunter,1218
Diva,1219
Groundhog Day,1220
Unforgiven,1221
The Manchurian Candidate,1222
Pump up the Volume,1223
Arsenic and Old Lace,1224
Back to the Future,1225
Fried Green Tomatoes,1226
Patton,1227
Down by Law,1228
Akira,1229
Highlander,1230
Cool Hand Luke,1231
Cyrano de Bergerac,1232
Young Frankenstein,1233
Night on Earth,1234
Raise the Red Lantern,1235
The Great Dictator,1236
Fantasia,1237
High Noon,1238
The Big Sleep,1239
Heathers,1240
Somewhere in Time,1241
Ben-Hur,1242
This Is Spinal Tap,1243
Koyaanisqatsi,1244
Some Kind of Wonderful,1245
Indiana Jones and the Last Crusade,1246
Being There,1247
Gandhi,1248
The Unbearable Lightness of Being,1249
A Room with a View,1250
Real Genius,1251
Pink Floyd: The Wall,1252
The Killing Fields,1253
My Life as a Dog,1254
Forbidden Planet,1255
Field of Dreams,1256
The Man Who Would Be King,1257
Butch Cassidy and the Sundance Kid,1258
"Paris, Texas",1259
Until the End of the World,1260
When Harry Met Sally...,1261
I Shot a Man in Vegas,1262
Parallel Sons,1263
Hype!,1264
Santa with Muscles,1265
Female Perversions,1266
Mad Dog Time,1267
Breathing Room,1268
Paris Was a Woman,1269
I'm Not Rappaport,1270
Blue Juice,1271
Kids of Survival,1272
Alien³,1273
An American Werewolf in London,1274
Amityville: It's About Time,1275
Amityville 3-D,1276
Amityville: Dollhouse,1277
Amityville: A New Generation,1278
Amityville II: The Possession,1279
The Amityville Horror,1280
The Amityville Curse,1281
Blood for Dracula,1282
April Fool's Day,1283
Audrey Rose,1284
The Believers,1285
The Birds,1286
The Blob,1287
Blood Beach,1288
Body Parts,1289
The Body Snatcher,1290
Dracula,1291
Bride of Frankenstein,1292
Burnt Offerings,1293
Candyman,1294
Cape Fear,1295
Cape Fear,1296
Carrie,1297
Cat People,1298
A Nightmare on Elm Street,1299
